full_ID,temp,wg,start_date,start_datetime,end_datetime,is_valid,notes
,,,,,,,
MS_A1_M_01,23,650,8/30/2023,,,,
MS_A1_M_02,43,686,8/30/2023,,,,
MS_A1_M_03,43,692,8/30/2023,,,,
MS_A1_M_04,,,8/30/2023,,,,
MS_A1_M_05,,,8/30/2023,,,,
MS_A1_M_06,43,,8/30/2023,,,,
MS_A1_M_07,,,8/30/2023,,,,
MS_A1_M_08,,,8/30/2023,,,,
MS_A1_M_09,23,624,8/30/2023,,,,
MS_A1_M_10,,,8/30/2023,,,,
MS_A1_M_11,43,682,8/30/2023,,,,
MS_A1_M_12,43,658,8/30/2023,,,,
MS_A1_M_13,23,610,8/30/2023,,,,or 670?
MS_A1_M_14,43,657,8/30/2023,,,,
MS_A1_M_15,43,664,8/30/2023,,,,
MS_A1_M_16,,,8/30/2023,,,,
MS_A1_M_17,43,674,8/30/2023,,,,
MS_A1_M_18,43,672,8/30/2023,,,,
MS_A1_M_19,,,8/30/2023,,,,
MS_A1_M_20,23,667,8/30/2023,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
MS_A1_F_21,23,687,8/30/2023,,,,
MS_A1_F_22,30,633,8/30/2023,,,,
MS_A1_F_23,30,653,8/30/2023,,,,
MS_A1_F_24,30,639,8/30/2023,,,,
MS_A1_F_25,23,679,8/30/2023,,,,
MS_A1_F_26,30,621,8/30/2023,,,,
MS_A1_F_27,30,647,8/30/2023,,,,mrhl
MS_A1_F_28,30,694,8/30/2023,,,,
MS_A1_F_29,23,676,8/30/2023,,,,
MS_A1_F_30,23,685,8/30/2023,,,,
MS_A1_F_31,,,8/30/2023,,,,
MS_A1_F_32,23,656,8/30/2023,,,,
MS_A1_F_33,23,619,8/30/2023,,,,
,,,,,,,
MS_B1_F_01,23,666,8/30/2023,,,,
MS_B1_F_02,43,660,8/30/2023,,,,
MS_B1_F_03,43,640,8/30/2023,,,,
MS_B1_F_04,,,8/30/2023,,,,
MS_B1_F_05,,,8/30/2023,,,,
MS_B1_F_06,,,8/30/2023,,,,
MS_B1_F_07,43,684,8/30/2023,,,,
MS_B1_F_08,23,639,8/30/2023,,,,
MS_B1_F_09,,,8/30/2023,,,,
MS_B1_F_10,,,8/30/2023,,,,
MS_B1_F_11,43,693,8/30/2023,,,M,hopefully not dead?
MS_B1_F_12,43,655,8/30/2023,,,,
MS_B1_F_13,,,8/30/2023,,,,
MS_B1_F_14,,,8/30/2023,,,,
MS_B1_F_15,43,648,8/30/2023,,,,
MS_B1_F_16,23,600,8/30/2023,,,,
